架次编号,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,往返时间（s）,架次能耗（kWh）,返航SOC（%）
Q1-001,S001,C,S001-HYG-01;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05,76.0,0.17,1494.1586014409518,2.9174744636243775,63.53156920469528
Q1-002,S001,C,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-02;S001-MED-01;S001-MED-02;S001-WAT-06;S001-WAT-07;S001-WAT-08,78.0,0.224,1692.1586014409518,2.99565905984126,62.55426175198425
Q1-003,S002,C,S002-FOD-01;S002-HYG-01;S002-WAT-01;S002-WAT-02;S002-WAT-03,56.0,0.144,2041.8088898533306,5.721167250523166,28.485409368460424
Q1-004,S002,B,S002-FOD-02;S002-MED-01;S002-WAT-04,25.0,0.067,1816.6908051365338,2.7133843885268454,32.16539028682887
Q1-005,S003,C,S003-FOD-01;S003-HYG-01;S003-WAT-01;S003-WAT-02;S003-WAT-03,56.0,0.144,2369.989822297786,5.764297798437905,27.946277519526184
Q1-006,S003,B,S003-FOD-02;S003-MED-01;S003-WAT-04,25.0,0.067,2080.421776236588,2.7795780348966423,30.510549127583943
Q1-007,S004,C,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,59.0,0.156,2301.0566856956484,6.152871556373783,23.089105545327715
Q1-008,S005,C,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,59.0,0.156,1877.1913401689962,4.222152621988057,47.22309222514929
Q1-009,S006,C,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,59.0,0.156,1561.44447680059,2.597307986725557,67.53365016593054
Q1-010,S007,C,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,45.0,0.129,1907.4875152738375,3.41040465139035,57.36994185762063
Q1-011,S008,C,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,45.0,0.129,2199.7014951834217,5.83596757528536,27.050405308933
Q1-012,S009,B,S009-FOD-01;S009-MED-01;S009-WAT-01,25.0,0.067,1558.4316628081292,2.0961823699532536,47.59544075116866
Q1-013,S010,B,S010-FOD-01;S010-MED-01;S010-WAT-01,25.0,0.067,1555.251496079088,1.8228120071262586,54.429699821843535
Q1-014,S011,B,S011-FOD-01;S011-MED-01;S011-WAT-01,25.0,0.067,1188.412098141895,1.0739029837430392,73.15242540642402
Q1-015,S012,B,S012-FOD-01;S012-MED-01;S012-WAT-01,25.0,0.067,1922.6968250465682,2.7522540344454174,31.193649138864565
Q1-016,S013,B,S013-FOD-01;S013-MED-01;S013-WAT-01,25.0,0.067,1510.3914040230757,1.8245083621157092,54.38729094710727
Q1-017,S014,B,S014-FOD-01;S014-MED-01;S014-WAT-01,25.0,0.067,1869.5644307417988,2.13980333786708,46.50491655332299
Q1-018,S015,B,S015-FOD-01;S015-MED-01;S015-WAT-01,25.0,0.067,1828.2416300672203,2.3072998332833645,42.317504167915885
