返航余量,服务区编号,机型编号,最大安全载荷（kg）
0.1,S001,A,25.0
0.1,S001,B,30.0
0.1,S001,C,80.0
0.1,S002,A,25.0
0.1,S002,B,30.0
0.1,S002,C,78.59456444355473
0.1,S003,A,25.0
0.1,S003,B,30.0
0.1,S003,C,78.23974130553924
0.1,S004,A,25.0
0.1,S004,B,30.0
0.1,S004,C,74.8850146351714
0.1,S005,A,25.0
0.1,S005,B,30.0
0.1,S005,C,80.0
0.1,S006,A,25.0
0.1,S006,B,30.0
0.1,S006,C,80.0
0.1,S007,A,25.0
0.1,S007,B,30.0
0.1,S007,C,80.0
0.1,S008,A,25.0
0.1,S008,B,30.0
0.1,S008,C,71.43884090478959
0.1,S009,A,25.0
0.1,S009,B,30.0
0.1,S009,C,80.0
0.1,S010,A,25.0
0.1,S010,B,30.0
0.1,S010,C,80.0
0.1,S011,A,25.0
0.1,S011,B,30.0
0.1,S011,C,80.0
0.1,S012,A,25.0
0.1,S012,B,30.0
0.1,S012,C,78.0956812772458
0.1,S013,A,25.0
0.1,S013,B,30.0
0.1,S013,C,80.0
0.1,S014,A,25.0
0.1,S014,B,30.0
0.1,S014,C,80.0
0.1,S015,A,25.0
0.1,S015,B,30.0
0.1,S015,C,80.0
0.15,S001,A,25.0
0.15,S001,B,30.0
0.15,S001,C,80.0
0.15,S002,A,25.0
0.15,S002,B,30.0
0.15,S002,C,74.2419778347809
0.15,S003,A,25.0
0.15,S003,B,30.0
0.15,S003,C,73.76203819518439
0.15,S004,A,25.0
0.15,S004,B,30.0
0.15,S004,C,69.91423305214406
0.15,S005,A,25.0
0.15,S005,B,30.0
0.15,S005,C,80.0
0.15,S006,A,25.0
0.15,S006,B,30.0
0.15,S006,C,80.0
0.15,S007,A,25.0
0.15,S007,B,30.0
0.15,S007,C,80.0
0.15,S008,A,25.0
0.15,S008,B,30.0
0.15,S008,C,65.90340297099785
0.15,S009,A,25.0
0.15,S009,B,30.0
0.15,S009,C,80.0
0.15,S010,A,25.0
0.15,S010,B,30.0
0.15,S010,C,80.0
0.15,S011,A,25.0
0.15,S011,B,30.0
0.15,S011,C,80.0
0.15,S012,A,25.0
0.15,S012,B,30.0
0.15,S012,C,73.6396639872595
0.15,S013,A,25.0
0.15,S013,B,30.0
0.15,S013,C,80.0
0.15,S014,A,25.0
0.15,S014,B,30.0
0.15,S014,C,80.0
0.15,S015,A,25.0
0.15,S015,B,30.0
0.15,S015,C,80.0
0.2,S001,A,25.0
0.2,S001,B,30.0
0.2,S001,C,80.0
0.2,S002,A,25.0
0.2,S002,B,30.0
0.2,S002,C,68.86128808049298
0.2,S003,A,25.0
0.2,S003,B,30.0
0.2,S003,C,68.21795621188753
0.2,S004,A,25.0
0.2,S004,B,30.0
0.2,S004,C,63.698042779670985
0.2,S005,A,25.0
0.2,S005,B,30.0
0.2,S005,C,80.0
0.2,S006,A,25.0
0.2,S006,B,30.0
0.2,S006,C,80.0
0.2,S007,A,25.0
0.2,S007,B,30.0
0.2,S007,C,80.0
0.2,S008,A,25.0
0.2,S008,B,28.80177730526672
0.2,S008,C,58.905321274423265
0.2,S009,A,25.0
0.2,S009,B,30.0
0.2,S009,C,80.0
0.2,S010,A,25.0
0.2,S010,B,30.0
0.2,S010,C,80.0
0.2,S011,A,25.0
0.2,S011,B,30.0
0.2,S011,C,80.0
0.2,S012,A,25.0
0.2,S012,B,30.0
0.2,S012,C,68.12240807504486
0.2,S013,A,25.0
0.2,S013,B,30.0
0.2,S013,C,80.0
0.2,S014,A,25.0
0.2,S014,B,30.0
0.2,S014,C,80.0
0.2,S015,A,25.0
0.2,S015,B,30.0
0.2,S015,C,80.0
0.25,S001,A,25.0
0.25,S001,B,30.0
0.25,S001,C,80.0
0.25,S002,A,25.0
0.25,S002,B,30.0
0.25,S002,C,62.01658282812938
0.25,S003,A,25.0
0.25,S003,B,29.04219514155707
0.25,S003,C,61.15845465369535
0.25,S004,A,25.0
0.25,S004,B,27.412908110050683
0.25,S004,C,55.66255583206129
0.25,S005,A,25.0
0.25,S005,B,30.0
0.25,S005,C,80.0
0.25,S006,A,25.0
0.25,S006,B,30.0
0.25,S006,C,80.0
0.25,S007,A,25.0
0.25,S007,B,30.0
0.25,S007,C,80.0
0.25,S008,A,24.564153557228256
0.25,S008,B,25.481197256550107
0.25,S008,C,49.70580404710112
0.25,S009,A,25.0
0.25,S009,B,30.0
0.25,S009,C,80.0
0.25,S010,A,25.0
0.25,S010,B,30.0
0.25,S010,C,80.0
0.25,S011,A,25.0
0.25,S011,B,30.0
0.25,S011,C,80.0
0.25,S012,A,25.0
0.25,S012,B,29.43504891448412
0.25,S012,C,61.091849852893056
0.25,S013,A,25.0
0.25,S013,B,30.0
0.25,S013,C,80.0
0.25,S014,A,25.0
0.25,S014,B,30.0
0.25,S014,C,80.0
0.25,S015,A,25.0
0.25,S015,B,30.0
0.25,S015,C,78.45876130012788
0.3,S001,A,25.0
0.3,S001,B,30.0
0.3,S001,C,80.0
0.3,S002,A,25.0
0.3,S002,B,26.74665498159562
0.3,S002,C,52.95309588428107
0.3,S003,A,24.75204277331063
0.3,S003,B,25.433691896016636
0.3,S003,C,51.813419034667774
0.3,S004,A,20.17122518945051
0.3,S004,B,23.442858816499005
0.3,S004,C,44.748921626235976
0.3,S005,A,25.0
0.3,S005,B,30.0
0.3,S005,C,80.0
0.3,S006,A,25.0
0.3,S006,B,30.0
0.3,S006,C,80.0
0.3,S007,A,25.0
0.3,S007,B,30.0
0.3,S007,C,80.0
0.3,S008,A,14.215252952973131
0.3,S008,B,21.001755594275583
0.3,S008,C,36.81537065892119
0.3,S009,A,25.0
0.3,S009,B,30.0
0.3,S009,C,79.15490570681345
0.3,S010,A,25.0
0.3,S010,B,30.0
0.3,S010,C,80.0
0.3,S011,A,25.0
0.3,S011,B,30.0
0.3,S011,C,80.0
0.3,S012,A,25.0
0.3,S012,B,25.987322453087067
0.3,S012,C,51.76402219386022
0.3,S013,A,25.0
0.3,S013,B,30.0
0.3,S013,C,80.0
0.3,S014,A,25.0
0.3,S014,B,30.0
0.3,S014,C,79.92250457403286
0.3,S015,A,25.0
0.3,S015,B,30.0
0.3,S015,C,73.01265719849499
