服务区编号,单程距离（m）,最高DEM（m）,巡航海拔（m）,去程爬升（m）,返程爬升（m）
S001,3053.900274356943,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188
S002,7411.284242869706,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062
S003,7262.417801754879,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375
S004,7714.696398210524,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656
S005,5280.613054197159,276.410888671875,326.410888671875,198.710888671875,131.410888671875
S006,3185.3877447055984,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874
S007,4533.8685013946015,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812
S008,8079.035228157889,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539062
S009,5705.069435172296,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625
S010,4783.534328503316,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123
S011,2808.0114269821815,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376
S012,7390.165244245745,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686
S013,4848.635469137911,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876
S014,5418.161965915053,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125
S015,6009.120416422122,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375
