货箱编号,服务区编号,架次编号,机型编号
S001-HYG-01,S001,Q1-001,C
S001-WAT-01,S001,Q1-001,C
S001-WAT-02,S001,Q1-001,C
S001-WAT-03,S001,Q1-001,C
S001-WAT-04,S001,Q1-001,C
S001-WAT-05,S001,Q1-001,C
S001-FOD-01,S001,Q1-002,C
S001-FOD-02,S001,Q1-002,C
S001-FOD-03,S001,Q1-002,C
S001-HYG-02,S001,Q1-002,C
S001-MED-01,S001,Q1-002,C
S001-MED-02,S001,Q1-002,C
S001-WAT-06,S001,Q1-002,C
S001-WAT-07,S001,Q1-002,C
S001-WAT-08,S001,Q1-002,C
S002-FOD-01,S002,Q1-003,C
S002-HYG-01,S002,Q1-003,C
S002-WAT-01,S002,Q1-003,C
S002-WAT-02,S002,Q1-003,C
S002-WAT-03,S002,Q1-003,C
S002-FOD-02,S002,Q1-004,B
S002-MED-01,S002,Q1-004,B
S002-WAT-04,S002,Q1-004,B
S003-FOD-01,S003,Q1-005,C
S003-HYG-01,S003,Q1-005,C
S003-WAT-01,S003,Q1-005,C
S003-WAT-02,S003,Q1-005,C
S003-WAT-03,S003,Q1-005,C
S003-FOD-02,S003,Q1-006,B
S003-MED-01,S003,Q1-006,B
S003-WAT-04,S003,Q1-006,B
S004-FOD-01,S004,Q1-007,C
S004-HYG-01,S004,Q1-007,C
S004-MED-01,S004,Q1-007,C
S004-WAT-01,S004,Q1-007,C
S004-WAT-02,S004,Q1-007,C
S004-WAT-03,S004,Q1-007,C
S005-FOD-01,S005,Q1-008,C
S005-HYG-01,S005,Q1-008,C
S005-MED-01,S005,Q1-008,C
S005-WAT-01,S005,Q1-008,C
S005-WAT-02,S005,Q1-008,C
S005-WAT-03,S005,Q1-008,C
S006-FOD-01,S006,Q1-009,C
S006-HYG-01,S006,Q1-009,C
S006-MED-01,S006,Q1-009,C
S006-WAT-01,S006,Q1-009,C
S006-WAT-02,S006,Q1-009,C
S006-WAT-03,S006,Q1-009,C
S007-FOD-01,S007,Q1-010,C
S007-HYG-01,S007,Q1-010,C
S007-MED-01,S007,Q1-010,C
S007-WAT-01,S007,Q1-010,C
S007-WAT-02,S007,Q1-010,C
S008-FOD-01,S008,Q1-011,C
S008-HYG-01,S008,Q1-011,C
S008-MED-01,S008,Q1-011,C
S008-WAT-01,S008,Q1-011,C
S008-WAT-02,S008,Q1-011,C
S009-FOD-01,S009,Q1-012,B
S009-MED-01,S009,Q1-012,B
S009-WAT-01,S009,Q1-012,B
S010-FOD-01,S010,Q1-013,B
S010-MED-01,S010,Q1-013,B
S010-WAT-01,S010,Q1-013,B
S011-FOD-01,S011,Q1-014,B
S011-MED-01,S011,Q1-014,B
S011-WAT-01,S011,Q1-014,B
S012-FOD-01,S012,Q1-015,B
S012-MED-01,S012,Q1-015,B
S012-WAT-01,S012,Q1-015,B
S013-FOD-01,S013,Q1-016,B
S013-MED-01,S013,Q1-016,B
S013-WAT-01,S013,Q1-016,B
S014-FOD-01,S014,Q1-017,B
S014-MED-01,S014,Q1-017,B
S014-WAT-01,S014,Q1-017,B
S015-FOD-01,S015,Q1-018,B
S015-MED-01,S015,Q1-018,B
S015-WAT-01,S015,Q1-018,B
