候选编号,构造可行,随机种子,运输架次数,多服务区架次数,加权迟到（加权s）,迟到箱数,全部返航时刻（s）,末箱交付时刻（s）,总能耗（kWh）,计算时间（s）,指标与入选方案相同,失败原因,搜索参数或精修记录
S01,是,20260924,27,0,0,0,7977.65327083,7473.69260074,74.2009968574,0.0507311000001,否,,"{""energy_weight"": 20.0, ""hard_bonus"": 0.0, ""hard_first"": false, ""late_weight"": 2.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 1, ""neighbors"": 4, ""noise"": 0.0, ""packing_power"": 0.75, ""plan_limit"": 32, ""priority"": ""target"", ""wait_weight"": 0.0}"
S02,是,20260925,25,10,334.65611274,1,9635.49965406,9015.00520913,76.7021533081,0.121206600001,否,,"{""energy_weight"": 80.0, ""hard_bonus"": 0.0, ""hard_first"": true, ""late_weight"": 2.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 2, ""neighbors"": 4, ""noise"": 0.0, ""packing_power"": 0.75, ""plan_limit"": 32, ""priority"": ""target"", ""wait_weight"": 0.0}"
S03,是,20260926,23,11,29435.2538341,6,10289.6178834,9499.08297224,77.9248780084,0.238104199998,否,,"{""energy_weight"": 160.0, ""hard_bonus"": 0.0, ""hard_first"": false, ""late_weight"": 2.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 3, ""neighbors"": 4, ""noise"": 0.0, ""packing_power"": 0.75, ""plan_limit"": 32, ""priority"": ""target"", ""wait_weight"": 0.0}"
S04,是,20260927,27,0,0,0,7977.65327083,7473.69260074,71.3662865754,0.0225981000003,否,,"{""energy_weight"": 20.0, ""hard_bonus"": 0.0, ""hard_first"": true, ""late_weight"": 2.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 1, ""neighbors"": 4, ""noise"": 0.0, ""packing_power"": 1.0, ""plan_limit"": 32, ""priority"": ""target"", ""wait_weight"": 0.0}"
S05,是,20260928,23,11,0,0,10387.0279863,9766.53354139,76.4362357929,0.0586703000008,否,,"{""energy_weight"": 80.0, ""hard_bonus"": 0.0, ""hard_first"": false, ""late_weight"": 8.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 2, ""neighbors"": 4, ""noise"": 0.0, ""packing_power"": 1.0, ""plan_limit"": 32, ""priority"": ""slack"", ""wait_weight"": 0.0}"
S06,是,20260929,25,9,5404.89065627,3,10596.4899771,10036.7062195,75.6232317261,0.366695699999,否,,"{""energy_weight"": 160.0, ""hard_bonus"": 0.0, ""hard_first"": true, ""late_weight"": 8.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 3, ""neighbors"": 4, ""noise"": 0.0, ""packing_power"": 1.0, ""plan_limit"": 32, ""priority"": ""slack"", ""wait_weight"": 0.0}"
S07,是,20260930,26,0,0,0,7977.65327083,7473.69260074,70.1868227431,0.0184826000004,否,,"{""energy_weight"": 20.0, ""hard_bonus"": 0.0, ""hard_first"": false, ""late_weight"": 8.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 1, ""neighbors"": 4, ""noise"": 0.0, ""packing_power"": 1.25, ""plan_limit"": 32, ""priority"": ""slack"", ""wait_weight"": 0.5}"
S08,是,20260931,23,14,8677.5252093,2,10075.7074999,9285.17258872,79.0324129132,0.0374372000006,否,,"{""energy_weight"": 80.0, ""hard_bonus"": 0.0, ""hard_first"": true, ""late_weight"": 8.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 2, ""neighbors"": 4, ""noise"": 0.0, ""packing_power"": 1.25, ""plan_limit"": 32, ""priority"": ""slack"", ""wait_weight"": 0.5}"
S09,是,20260932,23,6,0,0,9586.99608289,9234.91884449,74.2046542085,0.239164899998,否,,"{""energy_weight"": 160.0, ""hard_bonus"": 0.0, ""hard_first"": false, ""late_weight"": 20.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 3, ""neighbors"": 4, ""noise"": 0.0, ""packing_power"": 1.25, ""plan_limit"": 32, ""priority"": ""hard"", ""wait_weight"": 0.5}"
S10,是,20260933,29,0,13321.2271267,2,8218.68027796,7486.44272318,73.3463406051,0.0217730000004,否,,"{""energy_weight"": 20.0, ""hard_bonus"": 0.0, ""hard_first"": true, ""late_weight"": 20.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 1, ""neighbors"": 4, ""noise"": 0.0, ""packing_power"": 1.5, ""plan_limit"": 32, ""priority"": ""hard"", ""wait_weight"": 0.5}"
S11,是,20260934,23,10,0,0,8900.46231996,8109.92740881,76.74119209,0.0452700999995,否,,"{""energy_weight"": 80.0, ""hard_bonus"": 0.0, ""hard_first"": false, ""late_weight"": 20.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 2, ""neighbors"": 4, ""noise"": 0.0, ""packing_power"": 1.5, ""plan_limit"": 32, ""priority"": ""hard"", ""wait_weight"": 0.5}"
S12,是,20260935,25,10,2266.42781076,1,7905.33661282,7399.57929857,78.0912130179,0.243717099998,否,,"{""energy_weight"": 160.0, ""hard_bonus"": 0.0, ""hard_first"": true, ""late_weight"": 20.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 3, ""neighbors"": 4, ""noise"": 0.0, ""packing_power"": 1.5, ""plan_limit"": 32, ""priority"": ""hard"", ""wait_weight"": 0.5}"
S13,是,20260936,26,0,0,0,7911.65327083,7407.69260074,71.9643261414,0.0212421999968,否,,"{""energy_weight"": 20.0, ""hard_bonus"": 0.5, ""hard_first"": false, ""late_weight"": 2.0, ""lookahead"": true, ""lookahead_limit"": 24, ""max_stops"": 1, ""neighbors"": 4, ""noise"": 3.0, ""packing_power"": 0.75, ""plan_limit"": 32, ""priority"": ""target"", ""wait_weight"": 0.0}"
