资源类别,机型编号,资源编号,架次编号,准备开始（s）,起飞时刻（s）,返回O01时刻（s）,下次可用时刻（s）,返航后充电时间（s）,架次能耗（kWh）,返航SOC,占用区间口径
共享电池,A,BAT-A-01,T008,0,390,1310.88640722,2176.12575927,865.239352053,1.2642900648,0.719046652267,"[开始,可用)"
共享电池,A,BAT-A-01,T010,2177,2537,3427.88640722,4298.32563263,870.439225409,1.28228962642,0.715046749685,"[开始,可用)"
共享电池,A,BAT-A-02,T011,0,360,1250.88640722,2121.32563263,870.439225409,1.28228962642,0.715046749685,"[开始,可用)"
共享电池,A,BAT-A-02,T006,2122,2482,3734.01258633,4799.56628074,1065.55369442,1.95768586529,0.564958696602,"[开始,可用)"
共享电池,A,BAT-A-03,T022,0,360,1688.60064398,2839.97854579,1151.37790181,2.25476966012,0.498940075529,"[开始,可用)"
共享电池,A,BAT-A-03,T026,2840,3170,4468.60064398,5592.02117149,1123.42052751,2.15799413368,0.520445748071,"[开始,可用)"
共享电池,A,BAT-A-04,T025,0,330,1908.54564395,3090.53711876,1181.99147481,2.36073972051,0.475391173219,"[开始,可用)"
共享电池,A,BAT-A-04,T017,3091,3451,5059.54564395,6273.63797165,1214.0923277,2.47185805743,0.45069820946,"[开始,可用)"
共享电池,A,BAT-A-05,T019,1251,1581,2803.01258633,3843.51912687,1040.50654054,1.87098417879,0.584225738047,"[开始,可用)"
共享电池,A,BAT-A-05,T018,3844,4174,5438.70264036,6478.21616045,1039.51352009,1.86754680032,0.58498959993,"[开始,可用)"
共享电池,A,BAT-A-06,T005,1311,1671,2965.70264036,4030.32147245,1064.61883209,1.95444980339,0.565677821469,"[开始,可用)"
共享电池,B,BAT-B-01,T002,0,390,1869.56443074,3463.47921048,1593.91477974,2.13980333787,0.465049165533,"[开始,可用)"
共享电池,B,BAT-B-01,T020,3464,3824,5484.42177624,7201.41084462,1716.98906839,2.42382092705,0.394044768238,"[开始,可用)"
共享电池,B,BAT-B-02,T024,0,390,1188.41209814,2320.43672443,1132.02462629,1.07390298374,0.731524254064,"[开始,可用)"
共享电池,B,BAT-B-02,T015,3020,3380,4921.83171776,6785.97451018,1864.14279242,2.76340644405,0.309148388987,"[开始,可用)"
共享电池,B,BAT-B-03,T001,1189,1579,3111.69682505,4971.00690664,1859.31008159,2.75225403445,0.311936491389,"[开始,可用)"
共享电池,B,BAT-B-03,T016,5485,5845,7241.69080514,8931.55638862,1689.86558348,2.36122826958,0.409692932606,"[开始,可用)"
共享电池,B,BAT-B-04,T023,1870,2230,3019.08973141,4114.68832437,1095.59859296,0.989842906832,0.752539273292,"[开始,可用)"
共享电池,B,BAT-B-04,T014,4922,5312,6883.83171776,8839.74313118,1955.91141342,2.97518018481,0.256204953798,"[开始,可用)"
共享电池,C,BAT-C-01,T004,0,450,1907.48751527,3664.47210836,1756.98459308,3.41040465139,0.573699418576,"[开始,可用)"
共享电池,C,BAT-C-01,T012,4016,4496,6451.9898223,8997.89102788,2545.90120558,6.32332752831,0.209584058962,"[开始,可用)"
共享电池,C,BAT-C-02,T007,0,480,1561.4444768,3098.21538987,1536.77091307,2.59730798673,0.675336501659,"[开始,可用)"
