架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U06,B,BAT-B-03,1189,O01 → S012 → O01,3111.69682505,2.75225403445
T002,U05,B,BAT-B-01,0,O01 → S014 → O01,1869.56443074,2.13980333787
T003,U07,C,BAT-C-04,1908,O01 → S002 → O01,4015.80888985,6.28076271291
T004,U07,C,BAT-C-01,0,O01 → S007 → O01,1907.48751527,3.41040465139
T005,U01,A,BAT-A-06,1311,O01 → S010 → O01,2965.70264036,1.95444980339
T006,U03,A,BAT-A-02,2122,O01 → S013 → O01,3734.01258633,1.95768586529
T007,U08,C,BAT-C-02,0,O01 → S006 → O01,1561.4444768,2.59730798673
T008,U01,A,BAT-A-01,0,O01 → S001 → O01,1310.88640722,1.2642900648
T009,U08,C,BAT-C-03,1562,O01 → S001 → O01,3056.15860144,2.99565905984
T010,U04,A,BAT-A-01,2177,O01 → S001 → O01,3427.88640722,1.28228962642
T011,U02,A,BAT-A-02,0,O01 → S001 → O01,1250.88640722,1.28228962642
T012,U07,C,BAT-C-01,4016,O01 → S003 → O01,6451.9898223,6.32332752831
T013,U08,C,BAT-C-02,3099,O01 → S004 → O01,5400.0566857,6.15287155637
T014,U05,B,BAT-B-04,4922,O01 → S008 → O01,6883.83171776,2.97518018481
T015,U05,B,BAT-B-02,3020,O01 → S008 → O01,4921.83171776,2.76340644405
T016,U06,B,BAT-B-03,5485,O01 → S002 → O01,7241.69080514,2.36122826958
T017,U01,A,BAT-A-04,3091,O01 → S015 → O01,5059.54564395,2.47185805743
T018,U03,A,BAT-A-05,3844,O01 → S010 → O01,5438.70264036,1.86754680032
T019,U02,A,BAT-A-05,1251,O01 → S013 → O01,2803.01258633,1.87098417879
T020,U06,B,BAT-B-01,3464,O01 → S003 → O01,5484.42177624,2.42382092705
T021,U08,C,BAT-C-03,5401,O01 → S005 → O01,7278.19134017,4.22215262199
T022,U03,A,BAT-A-03,0,O01 → S009 → O01,1688.60064398,2.25476966012
T023,U05,B,BAT-B-04,1870,O01 → S001 → O01,3019.08973141,0.989842906832
T024,U06,B,BAT-B-02,0,O01 → S011 → O01,1188.41209814,1.07390298374
T025,U04,A,BAT-A-04,0,O01 → S015 → O01,1908.54564395,2.36073972051
T026,U02,A,BAT-A-03,2840,O01 → S009 → O01,4468.60064398,2.15799413368
