货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-FOD-01,T009,S001,2744.26430072
S001-FOD-02,T010,S001,3085.56653694
S001-FOD-03,T011,S001,908.566536942
S001-HYG-01,T023,S001,2727.66819904
S001-HYG-02,T023,S001,2727.66819904
S001-MED-01,T008,S001,968.566536942
S001-MED-02,T008,S001,968.566536942
S001-WAT-01,T008,S001,968.566536942
S001-WAT-02,T009,S001,2744.26430072
S001-WAT-03,T009,S001,2744.26430072
S001-WAT-04,T009,S001,2744.26430072
S001-WAT-05,T009,S001,2744.26430072
S001-WAT-06,T009,S001,2744.26430072
S001-WAT-07,T010,S001,3085.56653694
S001-WAT-08,T011,S001,908.566536942
S002-FOD-01,T003,S002,3395.31444493
S002-FOD-02,T016,S002,6645.28540257
S002-HYG-01,T016,S002,6645.28540257
S002-MED-01,T003,S002,3395.31444493
S002-WAT-01,T003,S002,3395.31444493
S002-WAT-02,T003,S002,3395.31444493
S002-WAT-03,T003,S002,3395.31444493
S002-WAT-04,T003,S002,3395.31444493
S003-FOD-01,T012,S003,5661.45491115
S003-FOD-02,T020,S003,4752.18422145
S003-HYG-01,T020,S003,4752.18422145
S003-MED-01,T012,S003,5661.45491115
S003-WAT-01,T012,S003,5661.45491115
S003-WAT-02,T012,S003,5661.45491115
S003-WAT-03,T012,S003,5661.45491115
S003-WAT-04,T012,S003,5661.45491115
S004-FOD-01,T013,S004,4682.49834285
S004-HYG-01,T013,S004,4682.49834285
S004-MED-01,T013,S004,4682.49834285
S004-WAT-01,T013,S004,4682.49834285
S004-WAT-02,T013,S004,4682.49834285
S004-WAT-03,T013,S004,4682.49834285
S005-FOD-01,T021,S005,6774.23067008
S005-HYG-01,T021,S005,6774.23067008
S005-MED-01,T021,S005,6774.23067008
S005-WAT-01,T021,S005,6774.23067008
S005-WAT-02,T021,S005,6774.23067008
S005-WAT-03,T021,S005,6774.23067008
S006-FOD-01,T007,S006,1209.3672384
S006-HYG-01,T007,S006,1209.3672384
S006-MED-01,T007,S006,1209.3672384
S006-WAT-01,T007,S006,1209.3672384
S006-WAT-02,T007,S006,1209.3672384
S006-WAT-03,T007,S006,1209.3672384
S007-FOD-01,T004,S007,1347.70375764
S007-HYG-01,T004,S007,1347.70375764
S007-MED-01,T004,S007,1347.70375764
S007-WAT-01,T004,S007,1347.70375764
S007-WAT-02,T004,S007,1347.70375764
S008-FOD-01,T014,S008,6213.14252555
S008-HYG-01,T015,S008,4251.14252555
S008-MED-01,T014,S008,6213.14252555
S008-WAT-01,T014,S008,6213.14252555
S008-WAT-02,T015,S008,4251.14252555
S009-FOD-01,T026,S009,3905.89032199
S009-MED-01,T022,S009,1125.89032199
S009-WAT-01,T022,S009,1125.89032199
S010-FOD-01,T018,S010,4888.88798685
S010-MED-01,T005,S010,2415.88798685
S010-WAT-01,T005,S010,2415.88798685
S011-FOD-01,T024,S011,906.392715738
S011-MED-01,T024,S011,906.392715738
S011-WAT-01,T024,S011,906.392715738
S012-FOD-01,T001,S012,2460.27841252
S012-MED-01,T001,S012,2460.27841252
S012-WAT-01,T001,S012,2460.27841252
S013-FOD-01,T019,S013,2274.5396265
S013-MED-01,T006,S013,3205.5396265
S013-WAT-01,T006,S013,3205.5396265
S014-FOD-01,T002,S014,1242.33888204
S014-MED-01,T002,S014,1242.33888204
S014-WAT-01,T002,S014,1242.33888204
S015-FOD-01,T025,S015,1197.71282197
S015-MED-01,T017,S015,4348.71282197
S015-WAT-01,T017,S015,4348.71282197
