资源类别,机型,资源编号,无人机编号,架次编号,任务占用开始（s）,任务占用结束（s）,本次能耗（kWh）,返航SOC,充电开始（s）,充电完成（s）,下次满电可用（s）
运输电池,A,BAT-A-01,U01,T005,0.0,1654.70264,1.95445,0.565678,1654.70264,2719.321472,2719.321472
运输电池,A,BAT-A-01,U04,T021,2720.0,3910.886407,1.219472,0.729006,3910.886407,4763.178411,4763.178411
运输电池,A,BAT-A-01,U01,T015,4900.0,6122.012479,1.151967,0.744007,6122.012479,6954.802966,6954.802966
运输电池,A,BAT-A-01,U02,T030,7573.0,8763.886407,1.178023,0.738217,8763.886407,9604.204272,9604.204272
运输电池,A,BAT-A-02,U02,T006,0.0,1612.012586,1.957686,0.564959,1612.012586,2677.566281,2677.566281
运输电池,A,BAT-A-02,U03,T018,2678.0,3928.886407,1.28229,0.715047,3928.886407,4799.325633,4799.325633
运输电池,A,BAT-A-02,U02,T026,5310.0,7572.50237,3.08322,0.31484,7572.50237,8963.210289,8963.210289
运输电池,A,BAT-A-03,U03,T013,65.0,1757.191479,2.121294,0.528601,1757.191479,2870.009779,2870.009779
运输电池,A,BAT-A-03,U02,T020,2927.0,4117.886407,1.219472,0.729006,4117.886407,4970.178411,4970.178411
运输电池,A,BAT-A-03,U01,T029,6198.0,7750.012586,1.870984,0.584226,7750.012586,8790.519127,8790.519127
运输电池,A,BAT-A-04,U04,T014,72.0,1760.600644,2.25477,0.49894,1760.600644,2911.978546,2911.978546
运输电池,A,BAT-A-04,U01,T017,2966.0,4216.886407,1.28229,0.715047,4216.886407,5087.325633,5087.325633
运输电池,A,BAT-A-04,U03,T032,6342.0,7970.600644,2.157994,0.520446,7970.600644,9094.021171,9094.021171
运输电池,A,BAT-A-05,U02,T007,1613.0,2926.341455,1.311221,0.708618,2926.341455,3805.138589,3805.138589
运输电池,A,BAT-A-05,U04,T023,3911.0,5224.341455,1.356691,0.698513,5224.341455,6116.274353,6116.274353
运输电池,A,BAT-A-05,U04,T033,6767.0,7929.012479,1.1014,0.755245,7929.012479,8747.194628,8747.194628
运输电池,A,BAT-A-06,U01,T008,1655.0,2965.886407,1.26429,0.719047,2965.886407,3831.125759,3831.125759
运输电池,A,BAT-A-06,U03,T016,3929.0,5179.886407,1.28229,0.715047,5179.886407,6050.325633,6050.325633
运输电池,B,BAT-B-01,U05,T001,0.0,1922.696825,2.752254,0.311936,1922.696825,3782.006907,3782.006907
运输电池,B,BAT-B-01,U06,T028,3903.0,5338.251496,1.515299,0.621175,5338.251496,6661.547746,6661.547746
运输电池,B,BAT-B-02,U06,T019,0.0,1089.089731,1.006928,0.748268,1089.089731,2192.091976,2192.091976
运输电池,B,BAT-B-02,U06,T024,2240.0,3447.161864,1.13785,0.715537,3447.161864,4606.897004,4606.897004
运输电池,B,BAT-B-02,U06,T012,5344.0,7172.24163,2.3073,0.423175,7172.24163,8838.738224,8838.738224
运输电池,B,BAT-B-03,U06,T022,1090.0,2239.089731,1.073932,0.731517,2239.089731,3371.126784,3371.126784
运输电池,B,BAT-B-03,U05,T009,4176.0,6256.421776,2.779578,0.305105,6256.421776,8127.572258,8127.572258
运输电池,B,BAT-B-04,U05,T002,2119.0,3988.564431,2.139803,0.465049,3988.564431,5582.47921,5582.47921
运输电池,B,BAT-B-04,U05,T025,6257.0,8013.690805,2.361228,0.409693,8013.690805,9703.556389,9703.556389
运输电池,C,BAT-C-01,U07,T003,0.0,2107.80889,6.280763,0.214905,2107.80889,4642.182125,4642.182125
运输电池,C,BAT-C-01,U07,T011,5304.0,7503.701495,5.835968,0.270504,7503.701495,9917.60938,9917.60938
运输电池,C,BAT-C-02,U08,T004,0.0,1907.487515,3.410405,0.573699,1907.487515,3664.472108,3664.472108
运输电池,C,BAT-C-02,U08,T027,5316.0,7553.989822,5.090716,0.36366,7553.989822,9766.05876,9766.05876
运输电池,C,BAT-C-03,U08,T010,1948.0,4249.056686,6.152872,0.230891,4249.056686,6748.792732,6748.792732
运输电池,C,BAT-C-03,U07,T031,7504.0,9249.19134,3.787026,0.526622,9249.19134,11108.177644,11108.177644
中继能源组件,R,ENERGY-R-01,R01,R001,200.0,1922.244308,0.434559,0.8642,1922.244308,2598.783971,2598.783971
中继能源组件,R,ENERGY-R-01,R02,R008,4196.0,5179.484991,0.209475,0.934539,5179.484991,5591.888189,5591.888189
中继能源组件,R,ENERGY-R-01,R01,R007,6431.0,8010.670089,0.397024,0.87593,8010.670089,8671.960978,8671.960978
中继能源组件,R,ENERGY-R-02,R02,R003,306.0,2086.579131,0.458413,0.856746,2086.579131,2772.80925,2772.80925
中继能源组件,R,ENERGY-R-02,R01,R004,4538.0,6080.933369,0.382868,0.880354,6080.933369,6736.473306,6736.473306
中继能源组件,R,ENERGY-R-03,R01,R005,2223.0,4237.243035,0.54981,0.828184,4237.243035,4960.603431,4960.603431
中继能源组件,R,ENERGY-R-03,R02,R006,5480.0,9682.202946,1.187751,0.628828,9682.202946,10664.726722,10664.726722
中继能源组件,R,ENERGY-R-04,R02,R002,2387.0,3895.013244,0.384566,0.879823,3895.013244,4551.243297,4551.243297
