架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,起飞时刻（s）,返航SOC,货箱编号
T001,U05,B,BAT-B-01,0.0,O01 → S012 → O01,1922.696825,2.752254,390.0,0.311936,S012-WAT-01;S012-MED-01;S012-FOD-01
T002,U05,B,BAT-B-04,2119.0,O01 → S014 → O01,3988.564431,2.139803,2509.0,0.465049,S014-WAT-01;S014-MED-01;S014-FOD-01
T003,U07,C,BAT-C-01,0.0,O01 → S002 → O01,2107.80889,6.280763,480.0,0.214905,S002-MED-01;S002-WAT-01;S002-WAT-04;S002-WAT-02;S002-WAT-03;S002-FOD-02
T004,U08,C,BAT-C-02,0.0,O01 → S007 → O01,1907.487515,3.410405,450.0,0.573699,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01
T005,U01,A,BAT-A-01,0.0,O01 → S010 → O01,1654.70264,1.95445,360.0,0.565678,S010-MED-01;S010-WAT-01
T006,U02,A,BAT-A-02,0.0,O01 → S013 → O01,1612.012586,1.957686,360.0,0.564959,S013-MED-01;S013-WAT-01
T007,U02,A,BAT-A-05,1613.0,O01 → S006 → O01,2926.341455,1.311221,1973.0,0.708618,S006-MED-01;S006-WAT-01
T008,U01,A,BAT-A-06,1655.0,O01 → S001 → O01,2965.886407,1.26429,2045.0,0.719047,S001-MED-01;S001-MED-02;S001-WAT-01
T009,U05,B,BAT-B-03,4176.0,O01 → S003 → O01,6256.421776,2.779578,4566.0,0.305105,S003-MED-01;S003-WAT-01;S003-FOD-02
T010,U08,C,BAT-C-03,1948.0,O01 → S004 → O01,4249.056686,6.152872,2428.0,0.230891,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01
T011,U07,C,BAT-C-01,5304.0,O01 → S008 → O01,7503.701495,5.835968,5754.0,0.270504,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01
T012,U06,B,BAT-B-02,5344.0,O01 → S015 → O01,7172.24163,2.3073,5734.0,0.423175,S015-MED-01;S015-WAT-01;S015-FOD-01
T013,U03,A,BAT-A-03,65.0,O01 → S005 → O01,1757.191479,2.121294,425.0,0.528601,S005-MED-01;S005-WAT-01
T014,U04,A,BAT-A-04,72.0,O01 → S009 → O01,1760.600644,2.25477,432.0,0.49894,S009-MED-01;S009-WAT-01
T015,U01,A,BAT-A-01,4900.0,O01 → S011 → O01,6122.012479,1.151967,5260.0,0.744007,S011-MED-01;S011-WAT-01
T016,U03,A,BAT-A-06,3929.0,O01 → S001 → O01,5179.886407,1.28229,4289.0,0.715047,S001-WAT-02;S001-FOD-01
T017,U01,A,BAT-A-04,2966.0,O01 → S001 → O01,4216.886407,1.28229,3326.0,0.715047,S001-WAT-03;S001-FOD-03
T018,U03,A,BAT-A-02,2678.0,O01 → S001 → O01,3928.886407,1.28229,3038.0,0.715047,S001-WAT-04;S001-FOD-02
T019,U06,B,BAT-B-02,0.0,O01 → S001 → O01,1089.089731,1.006928,330.0,0.748268,S001-WAT-05
T020,U02,A,BAT-A-03,2927.0,O01 → S001 → O01,4117.886407,1.219472,3257.0,0.729006,S001-WAT-06
T021,U04,A,BAT-A-01,2720.0,O01 → S001 → O01,3910.886407,1.219472,3050.0,0.729006,S001-WAT-07
T022,U06,B,BAT-B-03,1090.0,O01 → S001 → O01,2239.089731,1.073932,1450.0,0.731517,S001-WAT-08;S001-HYG-01
T023,U04,A,BAT-A-05,3911.0,O01 → S006 → O01,5224.341455,1.356691,4271.0,0.698513,S006-WAT-02;S006-FOD-01
T024,U06,B,BAT-B-02,2240.0,O01 → S006 → O01,3447.161864,1.13785,2600.0,0.715537,S006-WAT-03;S006-HYG-01
T025,U05,B,BAT-B-04,6257.0,O01 → S002 → O01,8013.690805,2.361228,6617.0,0.409693,S002-FOD-01;S002-HYG-01
T026,U02,A,BAT-A-02,5310.0,O01 → S003 → O01,7572.50237,3.08322,5670.0,0.31484,S003-WAT-02;S003-FOD-01
T027,U08,C,BAT-C-02,5316.0,O01 → S003 → O01,7553.989822,5.090716,5706.0,0.36366,S003-WAT-03;S003-WAT-04;S003-HYG-01
T028,U06,B,BAT-B-01,3903.0,O01 → S010 → O01,5338.251496,1.515299,4233.0,0.621175,S010-FOD-01
T029,U01,A,BAT-A-03,6198.0,O01 → S013 → O01,7750.012586,1.870984,6528.0,0.584226,S013-FOD-01
T030,U02,A,BAT-A-01,7573.0,O01 → S001 → O01,8763.886407,1.178023,7903.0,0.738217,S001-HYG-02
T031,U07,C,BAT-C-03,7504.0,O01 → S005 → O01,9249.19134,3.787026,7924.0,0.526622,S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01
T032,U03,A,BAT-A-04,6342.0,O01 → S009 → O01,7970.600644,2.157994,6672.0,0.520446,S009-FOD-01
T033,U04,A,BAT-A-05,6767.0,O01 → S011 → O01,7929.012479,1.1014,7097.0,0.755245,S011-FOD-01
