货箱编号,架次编号,服务区编号,交付完成时刻（s）,物资类型,是否首批保障,首批截止时间（s）,期望送达时间（s）,硬截止时间（s）,延迟（s）,应急优先系数,硬约束满足
S001-MED-01,T008,S001,2623.566537,医疗物资,是,3600.0,3600.0,3600.0,0,24.0,是
S001-MED-02,T008,S001,2623.566537,医疗物资,否,,3600.0,3600.0,0,24.0,是
S001-WAT-01,T008,S001,2623.566537,饮用水,是,3600.0,3600.0,3600.0,0,12.0,是
S001-WAT-02,T016,S001,4837.566537,饮用水,否,,3600.0,,1237.566537,12.0,是
S001-WAT-03,T017,S001,3874.566537,饮用水,否,,3600.0,,274.566537,12.0,是
S001-WAT-04,T018,S001,3586.566537,饮用水,否,,3600.0,,0,12.0,是
S001-WAT-05,T019,S001,797.668199,饮用水,否,,3600.0,,0,12.0,是
S001-WAT-06,T020,S001,3775.566537,饮用水,否,,3600.0,,175.566537,12.0,是
S001-WAT-07,T021,S001,3568.566537,饮用水,否,,3600.0,,0,12.0,是
S001-WAT-08,T022,S001,1947.668199,饮用水,否,,3600.0,,0,12.0,是
S001-FOD-01,T016,S001,4837.566537,应急食品,否,,7200.0,,0,10.0,是
S001-FOD-02,T018,S001,3586.566537,应急食品,否,,7200.0,,0,10.0,是
S001-FOD-03,T017,S001,3874.566537,应急食品,否,,7200.0,,0,10.0,是
S001-HYG-01,T022,S001,1947.668199,生活卫生用品,否,,10800.0,,0,8.0,是
S001-HYG-02,T030,S001,8421.566537,生活卫生用品,否,,10800.0,,0,8.0,是
S002-MED-01,T003,S002,1487.314445,医疗物资,是,3600.0,3600.0,3600.0,0,24.0,是
S002-WAT-01,T003,S002,1487.314445,饮用水,是,3600.0,3600.0,3600.0,0,12.0,是
S002-WAT-02,T003,S002,1487.314445,饮用水,否,,3600.0,,0,12.0,是
S002-WAT-03,T003,S002,1487.314445,饮用水,否,,3600.0,,0,12.0,是
S002-WAT-04,T003,S002,1487.314445,饮用水,否,,3600.0,,0,12.0,是
S002-FOD-01,T025,S002,7417.285403,应急食品,否,,7200.0,,217.285403,10.0,是
S002-FOD-02,T003,S002,1487.314445,应急食品,否,,7200.0,,0,10.0,是
S002-HYG-01,T025,S002,7417.285403,生活卫生用品,否,,10800.0,,0,8.0,是
S003-MED-01,T009,S003,5524.184221,医疗物资,是,7200.0,7200.0,7200.0,0,20.0,是
S003-WAT-01,T009,S003,5524.184221,饮用水,是,7200.0,7200.0,7200.0,0,10.0,是
