运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,链路裕量下界（dB）,区间连续性已认证,记录语义
T001,爬升,390.0,485.200332,直连,,23.461181,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T001,巡航,485.200332,744.854786,直连,,0.115885,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T001,巡航,744.854786,977.878015,中继,R001,2.005631,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T001,下降,977.878015,1031.278413,中继,R001,1.993557,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T001,交付,1031.278413,1271.278413,中继,R001,1.993557,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T001,爬升,1271.278413,1315.778744,中继,R001,1.993557,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T001,巡航,1315.778744,1548.801973,中继,R001,2.005631,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T001,巡航,1548.801973,1808.456427,直连,,0.115885,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T001,下降,1808.456427,1922.696825,直连,,23.461181,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T002,爬升,2509.0,2663.749129,直连,,18.993278,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T002,巡航,2663.749129,2919.880422,直连,,0.197015,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T002,巡航,2919.880422,3024.959927,中继,R002,0.670275,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T002,下降,3024.959927,3121.338882,中继,R002,0.670275,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T002,交付,3121.338882,3361.338882,中继,R002,0.690228,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T002,爬升,3361.338882,3441.654678,中继,R002,0.670275,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
T002,巡航,3441.654678,3546.734183,中继,R002,0.670275,是,区间保底保障预约；实际通信状态优先直连，见validation.json采样统计
