K,候选编号,分组,资源总件数,库存缺口总件数,工作量CV,货箱数CV,是否Pareto,是否资源优先选择,是否均衡优先选择,A型运输无人机需求,B型运输无人机需求,C型运输无人机需求,A型电池组需求,B型电池组需求,C型电池组需求,中继无人机需求,中继能源组件需求,A型运输无人机缺口,B型运输无人机缺口,C型运输无人机缺口,A型电池组缺口,B型电池组缺口,C型电池组缺口,中继无人机缺口,中继能源组件缺口
2,K2-001,"G1:S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S015 | G2:S014",30,3,0.90052541,0.925,0,0,0,4,3,2,6,5,3,3,4,0,1,0,0,1,0,1,0
2,K2-002,"G1:S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S012,S013,S014,S015 | G2:S011",30,3,0.929786987,0.925,0,0,0,5,2,2,8,4,3,2,4,1,0,0,2,0,0,0,0
2,K2-003,"G1:S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S012,S013,S015 | G2:S011,S014",33,6,0.830312397,0.85,0,0,0,5,3,2,8,5,3,3,4,1,1,0,2,1,0,1,0
2,K2-004,"G1:S001,S002,S003,S004,S005,S007,S008,S009,S010,S011,S012,S013,S014,S015 | G2:S006",30,3,0.887087678,0.85,0,0,0,5,3,2,6,5,3,2,4,1,1,0,0,1,0,0,0
2,K2-005,"G1:S001,S002,S003,S004,S005,S007,S008,S009,S010,S011,S012,S013,S015 | G2:S006,S014",33,6,0.787613088,0.775,0,0,0,5,4,2,6,6,3,3,4,1,2,0,0,2,0,1,0
2,K2-006,"G1:S001,S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S014,S015 | G2:S006,S011",32,5,0.816874665,0.775,1,0,0,6,3,2,7,5,3,2,4,2,1,0,1,1,0,0,0
2,K2-007,"G1:S001,S002,S003,S004,S005,S007,S008,S009,S010,S012,S013,S015 | G2:S006,S011,S014",35,8,0.717400076,0.7,0,0,0,6,4,2,7,6,3,3,4,2,2,0,1,2,0,1,0
2,K2-008,"G1:S001,S002,S003,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015 | G2:S004",30,2,0.872908128,0.85,1,1,0,4,2,3,6,4,4,3,4,0,0,1,0,0,0,1,0
2,K2-009,"G1:S001,S002,S003,S005,S006,S007,S008,S009,S010,S011,S012,S013,S015 | G2:S004,S014",34,5,0.773433538,0.775,0,0,0,4,3,3,6,5,4,4,5,0,1,1,0,1,0,2,0
2,K2-010,"G1:S001,S002,S003,S005,S006,S007,S008,S009,S010,S012,S013,S014,S015 | G2:S004,S011",33,5,0.802695115,0.775,0,0,0,5,2,3,8,4,4,3,4,1,0,1,2,0,0,1,0
